repoName,repoOrg,description,language,stargazers_count,forks_count,subscribers_count,open_issues_count,size,created_at
luminoth,tryolabs,b'Deep Learning toolkit for Computer Vision',Python,886,85,63,15,1789,2017-02-16T15:07:46Z
spotlight,maciejkula,b'Deep recommender models using PyTorch.',Python,686,89,34,15,2921,2017-06-25T18:52:19Z
hdbscan,scikit-learn-contrib,b'A high performance implementation of HDBSCAN clustering.',Jupyter Notebook,695,116,44,49,24189,2015-04-22T13:32:37Z
polylearn,scikit-learn-contrib,b'A library for factorization machines and polynomial networks for classification and regression in Python.',Python,107,22,8,5,3201,2016-07-11T18:15:04Z
lightning,scikit-learn-contrib,"b'Large-scale linear classification, regression and ranking in Python'",Python,511,95,27,39,7100,2012-01-11T13:53:52Z
py-earth,scikit-learn-contrib,"b""A Python implementation of Jerome Friedman's Multivariate Adaptive Regression Splines""",Python,194,39,17,25,18548,2013-02-11T01:57:22Z
devol,joeddav,b'Automated deep neural network design via genetic programming',Python,606,60,42,1,68,2017-02-10T03:07:54Z
implicit,benfred,b'Fast Python Collaborative Filtering for Implicit Datasets',Python,558,130,45,10,1030,2016-04-17T03:45:23Z
thinc,explosion,"b""\xf0\x9f\x94\xae spaCy's Machine Learning library for NLP in Python""",Python,428,46,36,4,2011,2014-10-16T16:34:59Z
metric-learn,all-umass,b'Metric learning algorithms in Python',Python,341,99,28,20,1338,2013-11-02T08:29:47Z
chainerrl,chainer,b'ChainerRL is a deep reinforcement learning library built on top of Chainer.',Python,338,77,62,55,6940,2017-01-30T04:58:15Z
theano_lstm,JonathanRaiman,b':microscope: Nano size Theano LSTM module',Python,301,130,40,11,94,2014-12-11T00:03:27Z
pynlpl,proycon,"b""PyNLPl, pronounced as 'pineapple', is a Python library for Natural Language Processing. It contains various modules useful for common, and less common, NLP tasks. PyNLPl can be used for basic tasks such as the extraction of n-grams and frequency lists, and to build simple language model. There are also more complex data types and algorithms. Moreover, there are parsers for file formats common in NLP (e.g. FoLiA/Giza/Moses/ARPA/Timbl/CQL). There are also clients to interface with various NLP specific servers. PyNLPl most notably features a very extensive library for working with FoLiA XML (Format for Linguistic Annotation).""",Python,285,48,30,3,13263,2010-07-06T11:42:27Z
bigartm,bigartm,b'Fast topic modeling platform',C++,224,67,37,94,16725,2014-09-15T20:26:11Z
sklearn-bayes,AmazaspShumik,b'Python package for Bayesian Machine Learning with scikit-learn API',Jupyter Notebook,227,56,20,13,18247,2015-07-30T03:15:34Z
MachineLearning,carefree0910,b'Machine learning algorithms implemented by pure numpy',Jupyter Notebook,208,126,19,0,50768,2016-09-18T09:37:01Z
